scrape_id,last_scraped,host_since,neighbourhood,price
20200000000000.0,1/2/15,5/11/11,Bedford-Stuyvesant,$80.00 
20200000000000.0,1/2/15,7/3/13,Noho,$175.00 
20200000000000.0,1/2/15,4/17/12,Riverdale,$29.00 
20200000000000.0,1/2/15,11/17/11,Elmhurst,$120.00 
20200000000000.0,1/2/15,7/2/14,Forest Hills,$150.00 
20200000000000.0,1/2/15,12/14/14,Hell's Kitchen,$295.00 
20200000000000.0,1/2/15,8/6/14,Financial District,$250.00 
20200000000000.0,1/2/15,6/5/14,East Village,$300.00 
20200000000000.0,1/2/15,11/17/10,Harlem,$250.00 
20200000000000.0,1/3/15,10/26/11,Fort Greene,$154.00 
20200000000000.0,1/2/15,2/22/12,Bushwick,$58.00 
20200000000000.0,1/3/15,2/25/13,Bedford-Stuyvesant,$35.00 
20200000000000.0,1/3/15,1/18/12,Williamsburg,$65.00 
20200000000000.0,1/2/15,7/22/14,West Village,$80.00 
20200000000000.0,1/3/15,6/2/13,Chelsea,$200.00 
20200000000000.0,1/2/15,8/9/11,Chelsea,$350.00 
20200000000000.0,1/2/15,11/5/13,Morningside Heights,$200.00 
20200000000000.0,1/3/15,9/18/13,Jamaica,$212.00 
20200000000000.0,1/2/15,2/20/13,Harlem,$60.00 
20200000000000.0,1/2/15,8/1/13,Hamilton Heights,$55.00 
20200000000000.0,1/2/15,9/11/13,West Village,$200.00 
20200000000000.0,1/2/15,9/24/12,Alphabet City,$110.00 
20200000000000.0,1/2/15,7/26/13,Fort Greene,$119.00 
20200000000000.0,1/3/15,5/16/11,Crown Heights,$200.00 
20200000000000.0,1/2/15,12/9/14,Rego Park,$60.00 
20200000000000.0,1/3/15,12/12/13,Alphabet City,$120.00 
20200000000000.0,1/2/15,10/1/13,Williamsburg,$210.00 
20200000000000.0,1/3/15,10/27/14,Soho,$400.00 
20200000000000.0,1/3/15,4/6/11,Bushwick,$60.00 
20200000000000.0,1/2/15,9/19/14,Alphabet City,$375.00 
20200000000000.0,1/2/15,5/18/10,Harlem,$99.00 
20200000000000.0,1/2/15,5/29/14,Sunset Park,$40.00 
20200000000000.0,1/2/15,3/1/11,Greenpoint,$249.00 
20200000000000.0,1/3/15,8/20/13,Hell's Kitchen,$89.00 
20200000000000.0,1/2/15,1/23/13,East Harlem,$145.00 
20200000000000.0,1/3/15,3/16/11,East Village,$80.00 
20200000000000.0,1/3/15,9/30/14,Washington Heights,$185.00 
20200000000000.0,1/3/15,10/10/14,Richmond Hill,$175.00 
20200000000000.0,1/3/15,9/21/11,Hamilton Heights,$55.00 
20200000000000.0,1/2/15,2/14/14,Downtown Brooklyn,$250.00 
20200000000000.0,1/3/15,1/9/13,East Village,$215.00 
